Boyut_Bayt,Sifir_Orani,Ortalama_Entropi,Toplam_API,Supheli_API,Etiket
9216,52.35,2.903,0,0,0
4116616,15.24,4.903,137,1,0
2997560,17.04,5.507,367,2,0
19136,12.79,3.592,0,0,0
18728,18.49,2.733,1,0,0
60728,17.93,2.748,1,0,0
168688,19.44,4.0,0,0,0
397312,22.65,3.333,1,0,0
78264,22.17,3.07,1,0,0
15184,18.84,2.752,1,0,0
346384,19.93,4.998,0,0,0
5120,57.07,2.456,1,0,0
45792,34.18,2.396,0,0,0
20264,18.89,2.819,1,0,0
46304,14.82,3.119,1,0,0
665872,16.71,5.381,0,0,0
8192,50.62,2.99,0,0,0
290584,16.85,5.571,0,0,0
170288,22.43,3.043,1,0,0
33536,15.17,2.688,1,0,0
134288,21.78,2.965,1,0,0
26888,11.47,2.698,1,0,0
214192,25.5,2.937,1,0,0
2702848,26.78,3.058,1,0,0
63408,35.5,2.085,1,0,0
21920,39.66,3.036,0,0,0
86016,41.03,2.122,99,1,0
15392,18.2,2.754,1,0,0
132904,25.24,3.449,0,0,0
26920,19.73,2.991,1,0,0
3072,54.1,2.998,0,0,0
21808,50.59,1.371,0,0,0
1384592,27.57,2.867,1,0,0
16680,18.72,2.705,1,0,0
16680,18.67,2.9,1,0,0
24624,21.7,2.763,1,0,0
16896,49.83,3.033,0,0,0
20528,13.99,2.67,1,0,0
104888,18.74,4.265,178,1,0
463688,19.05,3.545,92,1,0
24104,30.73,3.301,0,0,0
4272456,13.71,4.107,243,2,0
15184,19.73,2.608,1,0,0
625592,15.91,4.845,143,1,0
36576,16.56,2.629,1,0,0
260608,49.24,3.237,0,0,0
4601144,19.72,5.051,714,2,0
18768,19.77,2.882,1,0,0
18744,15.85,3.054,1,0,0
6144,50.76,2.542,1,0,0
26896,10.42,2.842,1,0,0
15656,18.48,2.816,1,0,0
66208,20.54,4.753,0,0,0
447336,11.22,5.116,191,1,0
314720,21.9,4.886,284,1,0
98304,30.95,2.711,109,1,0
47376,37.2,2.959,0,0,0
61864,26.31,2.542,1,0,0
1119072,21.12,2.855,1,0,0
32520,14.54,2.871,1,0,0
130096,22.3,2.693,1,0,0
61440,41.51,2.258,1,0,0
45568,52.6,2.81,0,0,0
14990824,0.78,3.737,263,2,0
115944,15.49,4.401,41,0,0
4096,53.78,3.023,0,0,0
31984,13.19,2.928,1,0,0
31232,51.5,2.779,0,0,0
22448,17.64,2.899,1,0,0
29184,53.33,2.702,0,0,0
4608,54.25,2.712,1,0,0
16032,18.6,2.727,1,0,0
810248,15.33,3.385,120,1,0
